canonical_sku,w,h,d,keyword,source,raw_desc
RD36NM,31.9375,3.6875,20,ROLL_OUT_DRAWER,GHI,Width: 31.9375in Height: 3.6875in Depth: 20in
RD30NM,25.9375,3.6875,20,ROLL_OUT_DRAWER,GHI,Width: 25.9375in Height: 3.6875in Depth: 20in
SP24X54,23.875,54,0.1875,PANTRY,GHI,Width: 23.875in Height: 54in Depth: 0.1875in
WR1818,18,18,,WINE_RACK,GHI,Width: 18 Height: 18
V3621DR,36,34.5,21,VANITY,GHI,Width: 36in Height: 34.5in Depth: 21in
WP2484SHELF-NM,25.9375,,21.625,SHELF,GHI,Width: 25.9375in Depth: 21.625in
WP1884SHELF-NM,16.375,,21.625,SHELF,GHI,Width: 16.375in Depth: 21.625in
CSFFLOORNM,,,,SHELF,GHI,
UCB2454,24,54,24,WALL_PANTRY,GHI,Width: 24 Height: 54 Depth: 24 For use as part of GWP2496-ACW Wall Pantry Cabinet
UCB1854,18,54,24,WALL_PANTRY,GHI,Width: 18 Height: 54 Depth: 24 For use as part of GWP1896-ACW Wall Pantry Cabinet
ER3309,,,,BASE,GHI,GER3309-ACW GHI Arcadia White Shaker EZ Reach Corner Base 33W X 341/2H
W183624,18,36,24,WALL_PANTRY,GHI,Width: 18in Height: 36in Depth: 24in For use as part of GWP1890-ACW Wall Pantry Cabinet
W243624,24,36,24,WALL_PANTRY,GHI,Width: 24in Height: 36in Depth: 24in For use as part of GWP2490-ACW Wall Pantry Cabinet
W244224,24,42,24,WALL_PANTRY,GHI,Width: 24in Height: 42in Depth: 24in For use as part of GWP2496-ACW Wall Pantry Cabinet
W184224,18,42,24,WALL_PANTRY,GHI,Width: 18in Height: 42in Depth: 24in For use as part of GWP1896-ACW Wall Pantry Cabinet
MB30,,,,BASE,GHI,GMB30-ACW GHI Arcadia White Shaker Microwave Base Cabinet
VDB1221,12,34.5,21,VANITY,GHI,Width: 12in Height: 34.5in Depth: 21in
SCHWDC,,,,,GHI,
SCH114,,,,,GHI,
VAR48,48,6,,,GHI,Width: 48in Height: 6in
B18FH,18,34.5,24,BASE,GHI,Full height door. No Drawers. Width: 18in Height: 34.5in Depth: 24in
